5:9654.0;6:9655.0;7:9655.0;8:9653.0;9:7690.0;msgKey:taiwan_future_MTXM5_1s@1434345640564;Date:1434345640564;KBAR:taiwan_future_MTXM5_1s_1434345640564
5:9649.0;6:9649.0;7:9649.0;8:9649.0;9:1820.0;msgKey:taiwan_future_MTXM5_1s@1434345640565;Date:1434345640565;KBAR:taiwan_future_MTXM5_1s_1434345640565
5:9650.0;6:9650.0;7:9649.0;8:9649.0;9:3643.0;msgKey:taiwan_future_MTXM5_1s@1434345640565;Date:1434345640565;KBAR:taiwan_future_MTXM5_1s_1434345640565
5:9649.0;6:9650.0;7:9650.0;8:9649.0;9:5472.0;msgKey:taiwan_future_MTXM5_1s@1434345640565;Date:1434345640565;KBAR:taiwan_future_MTXM5_1s_1434345640565
5:9649.0;6:9649.0;7:9649.0;8:9649.0;9:3655.0;msgKey:taiwan_future_MTXM5_1s@1434345640565;Date:1434345640565;KBAR:taiwan_future_MTXM5_1s_1434345640565
5:9649.0;6:9649.0;7:9649.0;8:9649.0;9:3661.0;msgKey:taiwan_future_MTXM5_1s@1434345640565;Date:1434345640565;KBAR:taiwan_future_MTXM5_1s_1434345640565
5:9649.0;6:9649.0;7:9649.0;8:9649.0;9:3666.0;msgKey:taiwan_future_MTXM5_1s@1434345640565;Date:1434345640565;KBAR:taiwan_future_MTXM5_1s_1434345640565
5:9650.0;6:9650.0;7:9650.0;8:9650.0;9:1836.0;msgKey:taiwan_future_MTXM5_1s@1434345640565;Date:1434345640565;KBAR:taiwan_future_MTXM5_1s_1434345640565
5:9649.0;6:9649.0;7:9649.0;8:9649.0;9:1838.0;msgKey:taiwan_future_MTXM5_1s@1434345640565;Date:1434345640565;KBAR:taiwan_future_MTXM5_1s_1434345640565
5:9649.0;6:9649.0;7:9649.0;8:9648.0;9:7362.0;msgKey:taiwan_future_MTXM5_1s@1434345640565;Date:1434345640565;KBAR:taiwan_future_MTXM5_1s_1434345640565
5:9649.0;6:9649.0;7:9649.0;8:9649.0;9:1843.0;msgKey:taiwan_future_MTXM5_1s@1434345640565;Date:1434345640565;KBAR:taiwan_future_MTXM5_1s_1434345640565
5:9649.0;6:9649.0;7:9649.0;8:9649.0;9:3697.0;msgKey:taiwan_future_MTXM5_1s@1434345640566;Date:1434345640566;KBAR:taiwan_future_MTXM5_1s_1434345640566
5:9650.0;6:9650.0;7:9650.0;8:9650.0;9:3701.0;msgKey:taiwan_future_MTXM5_1s@1434345640566;Date:1434345640566;KBAR:taiwan_future_MTXM5_1s_1434345640566
5:9650.0;6:9650.0;7:9650.0;8:9650.0;9:3705.0;msgKey:taiwan_future_MTXM5_1s@1434345640566;Date:1434345640566;KBAR:taiwan_future_MTXM5_1s_1434345640566
5:9649.0;6:9649.0;7:9649.0;8:9649.0;9:1854.0;msgKey:taiwan_future_MTXM5_1s@1434345640566;Date:1434345640566;KBAR:taiwan_future_MTXM5_1s_1434345640566
5:9649.0;6:9649.0;7:9649.0;8:9649.0;9:1855.0;msgKey:taiwan_future_MTXM5_1s@1434345640566;Date:1434345640566;KBAR:taiwan_future_MTXM5_1s_1434345640566
5:9648.0;6:9648.0;7:9648.0;8:9648.0;9:5669.0;msgKey:taiwan_future_MTXM5_1s@1434345640566;Date:1434345640566;KBAR:taiwan_future_MTXM5_1s_1434345640566
5:9648.0;6:9648.0;7:9648.0;8:9648.0;9:11398.0;msgKey:taiwan_future_MTXM5_1s@1434345640566;Date:1434345640566;KBAR:taiwan_future_MTXM5_1s_1434345640566
5:9648.0;6:9648.0;7:9647.0;8:9647.0;9:5754.0;msgKey:taiwan_future_MTXM5_1s@1434345640566;Date:1434345640566;KBAR:taiwan_future_MTXM5_1s_1434345640566
5:9647.0;6:9647.0;7:9646.0;8:9646.0;9:5789.0;msgKey:taiwan_future_MTXM5_1s@1434345640566;Date:1434345640566;KBAR:taiwan_future_MTXM5_1s_1434345640566
5:9646.0;6:9646.0;7:9646.0;8:9646.0;9:3867.0;msgKey:taiwan_future_MTXM5_1s@1434345640566;Date:1434345640566;KBAR:taiwan_future_MTXM5_1s_1434345640566
5:9646.0;6:9646.0;7:9646.0;8:9646.0;9:3879.0;msgKey:taiwan_future_MTXM5_1s@1434345640566;Date:1434345640566;KBAR:taiwan_future_MTXM5_1s_1434345640566
5:9646.0;6:9647.0;7:9646.0;8:9646.0;9:7772.0;msgKey:taiwan_future_MTXM5_1s@1434345640567;Date:1434345640567;KBAR:taiwan_future_MTXM5_1s_1434345640567
5:9645.0;6:9645.0;7:9645.0;8:9645.0;9:5847.0;msgKey:taiwan_future_MTXM5_1s@1434345640567;Date:1434345640567;KBAR:taiwan_future_MTXM5_1s_1434345640567
5:9645.0;6:9645.0;7:9645.0;8:9645.0;9:19657.0;msgKey:taiwan_future_MTXM5_1s@1434345640567;Date:1434345640567;KBAR:taiwan_future_MTXM5_1s_1434345640567
5:9645.0;6:9645.0;7:9645.0;8:9645.0;9:3974.0;msgKey:taiwan_future_MTXM5_1s@1434345640567;Date:1434345640567;KBAR:taiwan_future_MTXM5_1s_1434345640567
5:9644.0;6:9645.0;7:9644.0;8:9644.0;9:5994.0;msgKey:taiwan_future_MTXM5_1s@1434345640567;Date:1434345640567;KBAR:taiwan_future_MTXM5_1s_1434345640567
5:9644.0;6:9644.0;7:9644.0;8:9644.0;9:4005.0;msgKey:taiwan_future_MTXM5_1s@1434345640567;Date:1434345640567;KBAR:taiwan_future_MTXM5_1s_1434345640567
5:9644.0;6:9644.0;7:9643.0;8:9643.0;9:6026.0;msgKey:taiwan_future_MTXM5_1s@1434345640567;Date:1434345640567;KBAR:taiwan_future_MTXM5_1s_1434345640567
5:9645.0;6:9645.0;7:9645.0;8:9645.0;9:2017.0;msgKey:taiwan_future_MTXM5_1s@1434345640568;Date:1434345640568;KBAR:taiwan_future_MTXM5_1s_1434345640568
5:9644.0;6:9645.0;7:9644.0;8:9644.0;9:6124.0;msgKey:taiwan_future_MTXM5_1s@1434345640568;Date:1434345640568;KBAR:taiwan_future_MTXM5_1s_1434345640568
5:9643.0;6:9643.0;7:9643.0;8:9643.0;9:4095.0;msgKey:taiwan_future_MTXM5_1s@1434345640568;Date:1434345640568;KBAR:taiwan_future_MTXM5_1s_1434345640568
5:9643.0;6:9643.0;7:9643.0;8:9643.0;9:8224.0;msgKey:taiwan_future_MTXM5_1s@1434345640568;Date:1434345640568;KBAR:taiwan_future_MTXM5_1s_1434345640568
5:9643.0;6:9643.0;7:9643.0;8:9643.0;9:6205.0;msgKey:taiwan_future_MTXM5_1s@1434345640568;Date:1434345640568;KBAR:taiwan_future_MTXM5_1s_1434345640568
5:9642.0;6:9644.0;7:9642.0;8:9642.0;9:8301.0;msgKey:taiwan_future_MTXM5_1s@1434345640568;Date:1434345640568;KBAR:taiwan_future_MTXM5_1s_1434345640568
5:9642.0;6:9643.0;7:9643.0;8:9642.0;9:12631.0;msgKey:taiwan_future_MTXM5_1s@1434345640568;Date:1434345640568;KBAR:taiwan_future_MTXM5_1s_1434345640568
5:9642.0;6:9643.0;7:9643.0;8:9642.0;9:8487.0;msgKey:taiwan_future_MTXM5_1s@1434345640568;Date:1434345640568;KBAR:taiwan_future_MTXM5_1s_1434345640568
5:9642.0;6:9643.0;7:9643.0;8:9642.0;9:8517.0;msgKey:taiwan_future_MTXM5_1s@1434345640568;Date:1434345640568;KBAR:taiwan_future_MTXM5_1s_1434345640568
5:9642.0;6:9642.0;7:9642.0;8:9642.0;9:2137.0;msgKey:taiwan_future_MTXM5_1s@1434345640568;Date:1434345640568;KBAR:taiwan_future_MTXM5_1s_1434345640568
5:9643.0;6:9643.0;7:9643.0;8:9642.0;9:10708.0;msgKey:taiwan_future_MTXM5_1s@1434345640568;Date:1434345640568;KBAR:taiwan_future_MTXM5_1s_1434345640568
5:9642.0;6:9644.0;7:9644.0;8:9642.0;9:4314.0;msgKey:taiwan_future_MTXM5_1s@1434345640568;Date:1434345640568;KBAR:taiwan_future_MTXM5_1s_1434345640568
